Date and Time,Indicator,Threshold: Single-Sample,Date and Time,Results
8/28/2025 9:57:00 AM,Enterococci,61,8/28/2025 9:57:00 AM,0.5
8/26/2025 12:33:00 PM,Enterococci,61,8/26/2025 12:33:00 PM,155.3
8/19/2025 7:50:00 AM,Enterococci,61,8/19/2025 7:50:00 AM,22.5
8/12/2025 9:27:00 AM,Enterococci,61,8/12/2025 9:27:00 AM,17.1
8/5/2025 9:54:00 AM,Enterococci,61,8/5/2025 9:54:00 AM,42.2
7/29/2025 10:10:00 AM,Enterococci,61,7/29/2025 10:10:00 AM,46.5
7/22/2025 7:15:00 AM,Enterococci,61,7/22/2025 7:15:00 AM,4.1
7/15/2025 9:24:00 AM,Enterococci,61,7/15/2025 9:24:00 AM,6.1
7/8/2025 5:50:00 AM,Enterococci,61,7/8/2025 5:50:00 AM,22.2
7/2/2025 3:35:00 PM,Enterococci,61,7/2/2025 3:35:00 PM,52.1
7/1/2025 9:15:00 AM,Enterococci,61,7/1/2025 9:15:00 AM,41
6/25/2025 3:29:00 PM,Enterococci,61,6/25/2025 3:29:00 PM,17.1
6/24/2025 9:10:00 AM,Enterococci,61,6/24/2025 9:10:00 AM,158.5
6/17/2025 9:05:00 AM,Enterococci,61,6/17/2025 9:05:00 AM,25.4
6/11/2025 2:25:00 PM,Enterococci,61,6/11/2025 2:25:00 PM,16.9
6/10/2025 8:10:00 AM,Enterococci,61,6/10/2025 8:10:00 AM,83.9
6/3/2025 8:33:00 AM,Enterococci,61,6/3/2025 8:33:00 AM,37.2
5/27/2025 7:56:00 AM,Enterococci,61,5/27/2025 7:56:00 AM,2
5/20/2025 9:49:00 AM,Enterococci,61,5/20/2025 9:49:00 AM,13.2
